"GM12892_Rep1"	"GM12892_Rep2"	"GM12892_Rep3"	"H1-hESC_Rep1"	"H1-hESC_Rep2"	"H1-hESC_Rep3"	"H1-hESC_Rep4"	"MCF-7_Rep1"	"MCF-7_Rep2"	"MCF-7_Rep3"
"ADD2"	4	5	2	5594	5679	5713	2936	1	9	0
"ADD3"	1126	462	668	2514	2276	2461	2165	637	2897	322
"ADH1A"	0	0	0	0	0	0	0	0	0	0
"ADH1B"	0	0	0	0	0	1	0	0	0	0
"ADH1C"	0	0	0	0	0	0	0	0	1	0
"ADH4"	0	0	0	1	1	2	0	0	0	0
"ADH5"	4316	1906	2281	9430	10032	9320	6128	5031	13435	4127
"ADH6"	0	0	1	1	3	8	2	2	3	0
"ADH7"	1	0	0	0	0	0	0	1	5	0
"ADHFE1"	42	44	8	83	115	118	59	63	22	63
"ADI1"	1125	521	476	1274	1111	1061	692	4950	2859	5194
"ADIG"	0	0	0	0	0	0	0	0	0	0
"ADIPOQ"	0	0	0	0	2	0	0	0	0	0
"ADIPOR1"	2929	1530	1506	2183	2375	2359	1384	5920	6126	7509
"ADIPOR2"	3608	1577	1675	2359	2184	2209	1389	9056	6871	9432
"ADK"	2435	877	1462	729	737	657	540	4040	4749	2533
"ADM"	354	38	186	2973	2620	2501	2276	166	1170	129
"ADM2"	63	11	13	837	963	915	399	159	470	191
"ADNP"	3849	2468	2450	6363	6053	6339	4255	12640	5287	9678
"ADNP2"	2317	590	791	3464	3522	3428	2062	2314	1851	2180
"ADO"	2177	1167	1040	1169	1068	1068	713	1699	1653	1277
"ADORA1"	1	2	0	112	196	195	51	209	49	200
"ADORA2A"	1136	686	408	348	504	467	145	17	17	40
"ADORA2B"	7	16	1	124	147	160	67	116	2622	154
"ADORA3"	11	3	7	0	2	1	0	1	0	11
"ADPGK"	1990	1198	1180	1262	1080	1041	708	2361	1853	2267
"ADPRH"	1860	1153	898	233	209	205	100	106	90	96
"ADPRHL1"	83	42	27	49	45	33	23	709	55	709
"ADPRHL2"	2015	989	873	992	1035	911	432	1452	2100	2014
"ADRA1A"	2	0	0	16	9	8	4	1	0	4
"ADRA1B"	0	1	0	2	1	2	0	2	68	0
"ADRA1D"	7	2	2	17	28	19	2	1	19	1
"ADRA2A"	2	1	0	336	471	432	142	15	0	4
"ADRA2B"	17	4	4	317	453	415	136	47	11	50
"ADRA2C"	1	0	0	556	643	582	175	1092	1	3202
"ADRB1"	84	237	24	4	5	6	2	26	4	23
"ADRB2"	5	0	2	27	24	32	15	5	684	1
"ADRB3"	0	0	0	13	6	5	4	0	0	0
"ADRBK1"	14550	3820	3186	3150	3384	3199	1339	7736	3676	17993
"ADRBK2"	2117	1103	1363	1906	1523	1858	1308	485	1697	450
"ADRM1"	3856	1051	705	4633	5477	4598	2241	13601	8676	27426
"ADSL"	5540	2090	2447	6852	6923	6834	3439	2703	3895	3656
"ADSS"	2796	1300	1472	3224	2608	2212	2337	2751	4060	1070
"ADSSL1"	7	3	1	166	314	311	111	594	30	782
"AEBP1"	17	16	3	2497	3087	2699	1299	53	7	128
"AEBP2"	1620	1295	1102	1758	1534	1725	1340	1694	1884	857
"AEN"	3600	1093	965	7382	6734	6176	3147	3016	2515	4203
"AES"	11743	4463	2785	5735	6962	6502	2611	5498	13678	9329
"AFAP1"	157	8	31	1060	990	1061	602	3083	3784	2601
"AFAP1-AS1"	5	2	1	3	5	5	2	15	5	2
"AFAP1L1"	0	1	0	212	246	269	128	13	1921	13
"AFAP1L2"	454	635	228	304	395	368	188	2268	4387	1906
"AFF1"	4749	3942	2919	3529	2782	2995	2588	1429	3034	1026
"AFF2"	3	0	5	608	528	604	444	10	65	5
"AFF3"	478	914	265	58	41	47	39	72	2	138
"AFF4"	2419	1504	1413	3126	2072	2664	2288	6177	8767	3159
"AFG3L1P"	579	280	257	831	844	842	414	1801	598	4004
"AFG3L2"	4857	1839	2039	4033	3935	3694	2524	4655	5124	4322
"AFM"	0	0	0	2	0	1	0	0	0	0
"AFMID"	1202	518	751	736	793	742	477	636	571	680
"AFP"	0	0	0	87	50	57	76	0	2	0
"AFTPH"	4000	2000	2030	605	511	558	450	2358	1560	1177
"AGA"	827	254	361	315	365	314	182	646	800	595
"AGAP1"	4	14	3	2852	2669	2861	1524	4628	2320	6898
"AGAP11"	28	9	5	45	57	61	23	164	106	166
"AGAP2"	1168	373	342	126	208	181	78	346	61	660
"AGAP3"	1794	777	417	2895	3032	2827	1337	4324	4888	7985
"AGAP4"	73	1	22	75	95	56	30	6	30	13
"AGAP5"	207	111	91	183	164	168	74	103	90	113
"AGAP6"	484	310	237	569	554	585	327	300	266	462
"AGAP7"	10	62	1	212	160	180	74	61	16	142
"AGAP8"	34	18	26	39	26	29	13	65	27	56
"AGAP9"	7	9	5	15	17	18	7	9	4	4
"AGBL1"	0	0	0	1	0	0	0	1	0	0
"AGBL2"	132	105	66	49	86	84	56	51	15	39
"AGBL3"	58	31	19	18	12	20	14	3	16	11
"AGBL4"	0	1	0	0	3	3	5	0	1	0
"AGBL5"	1330	637	534	2073	2305	2282	1162	1891	1515	2244
"AGER"	260	206	155	348	372	411	190	186	86	248
"AGFG1"	4067	2384	2504	2617	2274	2507	1582	5782	4716	5460
"AGFG2"	1566	980	492	311	351	322	149	701	478	1289
"AGGF1"	1320	886	905	858	741	726	613	3044	2039	1624
"AGK"	2400	1148	1259	750	941	873	551	1468	1197	1260
"AGL"	2799	1450	1595	1320	878	964	1033	1039	2524	514
"AGMAT"	334	270	149	280	338	318	162	809	63	757
"AGMO"	1	0	1	12	9	8	9	0	0	0
"AGPAT1"	2089	766	506	5645	5668	5296	2893	1888	4816	2902
"AGPAT2"	366	121	56	709	864	749	288	4211	2077	6070
"AGPAT3"	5057	2704	1435	439	579	546	225	6035	2028	7176
"AGPAT4"	572	110	238	1673	1675	1672	1029	15	751	12
"AGPAT4-IT1"	39	16	35	67	80	57	41	1	13	3
"AGPAT5"	6312	7156	4559	3288	2900	3050	2493	3255	3468	2228
"AGPAT6"	3889	1250	1307	3586	3825	3633	1982	2467	4549	3211
"AGPAT9"	21	23	8	34	35	37	23	196	1057	184
"AGPHD1"	39	5	24	33	33	37	21	197	67	119
"AGPS"	3294	1281	1755	1815	1627	1577	1525	28	3884	3
"AGR2"	0	0	2	1	0	0	0	14385	121	13160
"AGR3"	0	0	0	0	0	0	0	1311	0	692
"AGRN"	6382	1344	591	13422	13717	13625	4783	25607	45534	56441
"AGRP"	10	2	4	0	1	0	0	0	0	1
"AGSK1"	8	3	0	16	4	2	0	4	1	25
"AGT"	0	0	0	2	2	4	2	1	0	0
"AGTPBP1"	1645	1171	994	1802	1612	1719	1423	1382	1220	757
"AGTR1"	0	0	0	1	0	1	1	18	0	7
"AGTR2"	0	0	5	0	0	0	0	1	0	1
"AGTRAP"	262	114	97	1565	1991	1809	744	1169	4290	1970
"AGXT"	0	0	1	0	0	0	0	9	0	6
"AGXT2"	0	0	0	0	0	0	0	0	0	2
"AGXT2L1"	0	0	0	55	55	47	42	2	0	5
"AGXT2L2"	1009	567	387	328	403	404	189	1080	290	1537
