"GM12892_Rep1"	"GM12892_Rep2"	"GM12892_Rep3"	"H1-hESC_Rep1"	"H1-hESC_Rep2"	"H1-hESC_Rep3"	"H1-hESC_Rep4"	"MCF-7_Rep1"	"MCF-7_Rep2"	"MCF-7_Rep3"
"LOC100506994"	1	25	2	61	94	95	58	309	60	235
"LOC100507003"	1	0	0	40	91	70	31	1	1	0
"LOC100507032"	269	131	164	28	41	38	20	96	7	67
"LOC100507034"	111	71	59	40	54	48	28	189	62	139
"LOC100507043"	1	1	0	2960	3212	3175	2312	3	0	0
"LOC100507053"	22	7	17	68	81	72	62	57	93	14
"LOC100507055"	0	0	0	1	1	1	0	0	0	0
"LOC100507062"	151	70	84	40	18	23	42	201	28	120
"LOC100507064"	3	0	0	33	61	73	54	0	0	0
"LOC100507086"	4	2	0	0	2	4	4	11	29	14
"LOC100507091"	0	1	0	1	1	0	0	0	0	0
"LOC100507096"	0	0	0	0	0	0	0	0	0	0
"LOC100507127"	0	0	0	90	100	92	63	0	794	0
"LOC100507140"	1	0	1	0	1	0	0	0	10	2
"LOC100507156"	16	3	6	13	9	9	6	1	30	0
"LOC100507173"	53	53	56	53	56	47	27	41	35	33
"LOC100507178"	74	38	47	73	89	91	37	36	45	38
"LOC100507194"	26	0	19	34	45	53	20	0	0	0
"LOC100507203"	1	0	1	0	0	0	1	1	0	0
"LOC100507205"	0	0	0	0	0	0	0	0	0	0
"LOC100507206"	2	0	2	0	1	0	2	0	0	0
"LOC100507217"	1200	700	684	592	601	552	668	2259	759	307
"LOC100507218"	2	1	3	31	31	25	13	10	0	6
"LOC100507240"	0	1	1	1	3	3	0	8	2	2
"LOC100507244"	1	0	1	0	1	0	1	1	1	0
"LOC100507246"	4028	3186	3181	4978	5832	5076	4117	7555	6600	5759
"LOC100507250"	96	60	56	20	17	18	13	17	0	4
"LOC100507254"	0	0	0	1	0	0	0	0	0	0
"LOC100507266"	99	46	59	81	111	91	70	19	32	17
"LOC100507299"	10	5	2	3	9	5	3	9	3	6
"LOC100507300"	3	2	3	0	1	0	1	1	0	0
"LOC100507321"	501	264	254	99	88	105	64	537	194	436
"LOC100507331"	134	63	66	85	104	102	55	65	18	79
"LOC100507334"	0	0	0	2	3	0	3	0	0	0
"LOC100507341"	2	2	5	0	0	0	0	0	0	0
"LOC100507346"	9	4	5	9	3	5	3	0	1	2
"LOC100507351"	0	0	1	43	40	56	13	0	0	0
"LOC100507362"	0	0	0	0	0	0	0	0	0	0
"LOC100507373"	84	40	48	494	514	531	231	179	35	323
"LOC100507377"	0	0	1	2	0	0	0	2	0	1
"LOC100507387"	0	0	1	0	1	1	0	0	1	0
"LOC100507389"	0	0	0	0	0	0	0	0	0	0
"LOC100507391"	1	0	0	7	1	3	0	4	1	2
"LOC100507392"	28	2	13	0	0	0	1	0	21	0
"LOC100507401"	10	1	4	19	40	31	33	15	10	7
"LOC100507404"	0	0	0	1	0	0	0	1	1	0
"LOC100507410"	0	0	0	1	0	0	0	0	1	0
"LOC100507412"	0	0	0	0	0	0	0	0	0	0
"LOC100507421"	209	55	93	1456	1110	1251	954	1920	1	1917
"LOC100507423"	8	2	4	2	5	8	5	4	0	5
"LOC100507424"	24	19	33	7	13	21	4	9	7	7
"LOC100507433"	16	25	6	4	11	6	5	9	18	1
"LOC100507443"	0	0	0	0	0	0	0	0	0	0
"LOC100507462"	21	20	11	16	19	15	9	12	16	11
"LOC100507463"	811	349	559	10	15	16	10	4	15	0
"LOC100507466"	2	1	3	0	2	1	0	15	0	9
"LOC100507470"	0	3	0	0	0	0	0	0	0	0
"LOC100507489"	1	1	1	2	1	1	1	2	8	0
"LOC100507495"	182	87	128	50	18	43	21	66	40	54
"LOC100507501"	42	54	40	38	37	39	12	241	18	297
"LOC100507537"	0	0	0	0	1	3	1	0	0	0
"LOC100507547"	16	21	2	32	25	30	21	38	39	29
"LOC100507557"	70	53	45	8	8	10	4	5	6	11
"LOC100507564"	36	3	13	2	11	5	5	43	17	43
"LOC100507567"	61	20	21	66	106	93	39	139	121	145
"LOC100507577"	144	107	84	12	11	12	13	81	62	39
"LOC100507582"	9	11	10	2	2	3	1	3	2	1
"LOC100507584"	0	0	0	0	0	0	0	258	0	262
"LOC100507589"	11	12	10	16	11	16	6	1	9	7
"LOC100507605"	0	0	0	0	0	0	0	0	0	0
"LOC100507629"	0	0	0	0	0	0	0	0	0	0
"LOC100507632"	0	0	1	0	0	0	0	0	0	0
"LOC100507634"	46	6	5	28	36	23	25	53	13	39
"LOC100507651"	0	0	0	0	0	0	0	0	0	0
"LOC100509575"	0	0	0	0	0	0	0	0	0	0
"LOC100526771"	0	0	0	0	0	0	0	0	0	0
"LOC100527964"	177	67	68	165	160	177	74	242	74	394
"LOC100616530"	1	2	0	2	3	0	1	4	0	4
"LOC100616668"	21	7	12	19	22	17	12	45	6	45
"LOC100628307"	0	0	0	0	0	0	0	0	0	0
"LOC100630918"	96	25	29	94	109	64	48	214	44	190
"LOC100630923"	148	66	51	47	72	55	31	79	63	92
"LOC100631378"	0	0	0	8	19	10	15	0	0	0
"LOC100652739"	0	0	0	1	0	4	1	26	10	29
"LOC100652768"	58	29	38	12	27	17	11	5	12	6
"LOC100652770"	2	3	0	2	2	3	5	3	4	1
"LOC100652791"	0	0	0	19	20	17	10	0	0	0
"LOC100653515"	0	0	0	17	18	12	11	2	0	15
"LOC113230"	20	9	6	35	30	34	13	633	47	918
"LOC115110"	483	257	145	2	1	2	0	2	24	3
"LOC116437"	1	3	2	0	0	0	0	1	0	2
"LOC120824"	0	0	0	0	0	0	0	0	0	0
"LOC121952"	1	2	4	0	0	0	0	0	3	0
"LOC126536"	0	0	0	0	0	0	0	22	0	23
"LOC127841"	1	0	2	0	3	6	0	16	0	35
"LOC139201"	8	4	3	5	2	5	3	10	0	14
"LOC143188"	20	7	17	30	26	25	13	10	11	17
"LOC143666"	57	17	22	69	118	92	32	73	55	104
"LOC144438"	1414	858	683	789	682	704	727	2001	1791	651
"LOC144481"	6	4	2	12	7	9	7	27	10	44
"LOC144486"	27	12	18	27	17	16	21	55	10	38
"LOC144571"	0	3	0	16	19	15	10	42	14	38
"LOC144742"	0	0	0	0	0	0	0	0	0	0
"LOC144817"	0	0	0	0	0	0	0	0	0	0
"LOC145216"	1	1	1	2	1	1	0	5	0	5
"LOC145474"	0	9	18	0	3	2	1	5	0	1
"LOC145663"	5	9	5	2	5	6	2	6	2	4
"LOC145783"	89	38	38	118	123	142	67	107	188	123
"LOC145820"	0	0	0	0	0	0	0	0	0	0
"LOC145837"	6	1	2	0	2	3	0	8	0	0
"LOC145845"	0	0	0	0	0	0	0	0	0	0
"LOC146336"	0	2	1	0	0	1	0	186	0	188
"LOC146481"	0	0	0	0	0	0	0	0	0	0
"LOC146513"	0	0	0	0	0	1	0	0	0	0
"LOC146880"	297	96	92	163	154	165	104	1455	365	1641
"LOC147093"	0	0	0	0	0	0	0	1	2	4
"LOC147646"	3	7	1	85	102	114	46	0	0	0
"LOC147670"	36	18	23	4	10	12	6	6	5	4
"LOC147727"	346	122	208	698	652	674	434	1507	229	1174
"LOC147804"	494	149	247	266	288	286	166	566	213	583
"LOC148145"	0	0	0	1	0	2	0	0	0	0
"LOC148189"	73	43	27	57	60	76	38	90	183	113
"LOC148413"	594	310	329	789	878	809	471	920	586	1269
"LOC148696"	54	52	38	0	1	0	0	4	3	10
"LOC148709"	3	9	3	223	226	210	120	108	4	215
"LOC148824"	0	0	0	0	0	0	0	0	0	0
"LOC149086"	10	1	6	1	0	0	0	0	0	1
"LOC149134"	2	1	1	29	10	19	12	3	0	4
"LOC149773"	4	3	4	1	2	2	2	5	2	6
"LOC149837"	20	20	13	3	6	1	2	1	0	0
"LOC149950"	0	0	0	0	0	0	0	2	0	0
"LOC150185"	0	0	0	0	0	0	0	0	0	0
"LOC150197"	1	4	2	0	0	0	0	6	1	2
"LOC150381"	64	10	17	1	1	0	2	235	823	133
"LOC150527"	0	0	0	0	0	0	0	0	0	0
"LOC150568"	0	0	0	2	0	1	0	0	0	0
"LOC150622"	4	15	1	2	0	1	1	0	0	0
"LOC150776"	1406	385	489	1158	1175	1124	680	1506	334	2600
"LOC150935"	0	0	0	0	0	0	0	0	0	0
"LOC151009"	2	9	7	130	183	219	81	1009	149	838
"LOC151162"	0	0	0	0	0	0	0	0	0	0
"LOC151171"	44	5	17	2	4	2	1	1	0	1
"LOC151174"	4	8	1	40	39	32	26	3	3	1
"LOC151300"	0	0	0	0	0	0	0	0	0	0
"LOC151475"	5	1	7	0	1	6	1	1	9	0
"LOC151484"	7	1	3	0	1	0	0	0	0	0
"LOC151534"	72	28	20	12	31	25	9	69	7	81
"LOC151658"	1	0	0	0	0	0	0	0	0	3
"LOC152024"	0	0	0	0	0	0	0	3	0	0
"LOC152217"	963	327	270	779	893	781	402	1711	592	2364
"LOC152225"	4	181	2	0	0	0	0	2	19	1
"LOC152578"	0	0	1	0	0	1	0	0	1	0
"LOC152742"	0	0	0	0	0	0	0	0	8	1
"LOC153469"	0	0	0	646	811	808	415	2	0	0
"LOC153684"	56	31	23	2	1	1	3	87	12	115
"LOC153910"	0	0	0	0	2	0	1	0	5	0
"LOC154092"	0	0	0	0	0	0	0	0	3	0
"LOC154449"	0	1	0	0	0	1	0	0	0	1
"LOC154761"	1068	253	410	3	6	4	2	154	133	112
"LOC154822"	5	1	1	2	1	2	1	20	0	17
"LOC154860"	0	0	0	212	187	197	102	26	0	17
"LOC154872"	0	0	0	0	0	0	0	1	0	0
"LOC155060"	191	111	71	217	293	300	112	224	170	370
"LOC157273"	0	0	0	0	0	0	0	0	0	0
"LOC157381"	0	0	0	0	0	0	0	0	4	1
"LOC157627"	0	0	0	2123	1658	1955	1375	0	0	0
"LOC158376"	0	0	0	4	11	1	2	0	7	2
"LOC158435"	1	0	0	1	1	0	0	0	0	0
"LOC158572"	21	11	8	13	21	14	12	48	27	59
"LOC158696"	0	0	0	17	17	14	12	1	0	0
"LOC162632"	269	348	139	102	86	94	61	34	2	25
"LOC170425"	0	0	0	15	16	12	10	75	0	92
"LOC1720"	0	0	0	0	0	0	0	0	0	0
"LOC200261"	2	0	0	0	0	0	0	0	0	0
"LOC200726"	0	0	0	0	0	0	0	0	0	0
"LOC200772"	0	1	0	0	0	0	0	7	0	11
"LOC201477"	0	0	0	0	1	0	1	0	0	0
"LOC201617"	0	0	3	0	0	0	0	0	0	0
"LOC201651"	0	0	0	0	0	0	0	0	1	0
"LOC202181"	198	70	98	334	364	359	198	283	196	362
"LOC202781"	456	308	208	259	231	278	174	518	50	396
"LOC219347"	14	4	12	168	217	205	121	216	10	187
"LOC219731"	3	0	3	10	15	10	12	24	11	23
"LOC220594"	183	198	122	101	102	112	78	227	13	164
"LOC220729"	258	147	92	379	364	364	229	478	265	526
"LOC220906"	2110	881	928	1770	1702	1786	1096	3368	3343	1528
"LOC220980"	1	3	1	0	1	4	2	4	0	2
"LOC221122"	0	0	0	0	0	0	0	0	0	0
"LOC221442"	39	36	22	45	69	55	30	20	31	22
"LOC253039"	942	671	666	388	418	465	290	1671	150	1560
"LOC253044"	1	0	0	0	0	4	3	1	0	0
"LOC253573"	8	13	12	0	0	0	0	0	0	0
"LOC253962"	1	0	1	1	2	5	6	5	3	4
"LOC254099"	1	0	0	3	6	2	2	5	0	5
"LOC254100"	50	18	19	29	29	30	19	74	25	102
"LOC254128"	265	155	125	97	118	122	79	370	133	136
"LOC254312"	0	0	0	0	0	0	0	0	0	0
"LOC254559"	2	5	0	63	116	113	48	209	3	296
"LOC255025"	0	0	0	0	0	0	0	0	0	0
"LOC255130"	0	0	0	0	0	0	1	0	9	0
"LOC255167"	0	1	0	33	50	35	19	0	1	0
"LOC255411"	0	0	0	0	0	0	0	0	0	0
"LOC255480"	0	0	0	1	0	0	0	0	0	0
"LOC255512"	20	11	1	17	27	29	10	129	15	148
"LOC255654"	0	0	0	0	0	0	0	0	0	1
"LOC256880"	78	21	55	6	6	9	11	4	2	8
"LOC257358"	18	20	10	1	1	0	4	2	4	0
"LOC257396"	148	91	86	56	76	58	48	173	199	150
"LOC282980"	0	0	0	0	0	0	0	0	0	0
"LOC282997"	143	118	67	84	90	84	47	145	79	103
"LOC283033"	0	0	0	0	0	0	0	0	0	0
"LOC283038"	7	10	4	3	0	3	1	33	5	8
"LOC283050"	9	3	2	1	2	3	0	7	15	3
"LOC283070"	1253	828	421	275	303	294	212	499	26	230
"LOC283089"	2	7	3	1	5	6	2	2	0	0
"LOC283104"	228	59	199	38	34	42	29	175	77	122
"LOC283116"	0	0	0	0	0	0	0	0	1	0
"LOC283143"	3	0	5	10	16	11	6	0	25	0
"LOC283174"	226	167	96	2229	2177	2323	1367	225	163	224
"LOC283177"	0	0	0	15	26	26	10	0	0	0
"LOC283194"	8	0	6	22	14	10	11	0	1	0
"LOC283299"	0	1	0	11	9	13	4	0	35	5
"LOC283332"	0	0	0	0	0	1	0	0	0	3
"LOC283335"	17	6	5	115	149	176	64	293	301	420
"LOC283392"	0	0	0	41	31	51	34	0	332	0
"LOC283403"	0	0	0	0	0	0	0	23	0	22
"LOC283404"	0	0	0	0	0	0	0	76	1	36
"LOC283440"	1	0	0	0	0	0	0	1	0	0
"LOC283481"	16	7	11	70	83	91	43	0	36	0
"LOC283547"	0	0	0	9	9	5	4	13	7	15
"LOC283553"	0	1	2	1	1	2	3	3	6	3
"LOC283585"	0	0	0	0	0	0	0	0	0	0
"LOC283624"	562	246	323	770	672	738	495	426	294	202
"LOC283663"	1440	491	646	22	29	19	22	10	11	6
"LOC283683"	5	1	3	17	32	31	7	24	1	20
"LOC283688"	0	0	0	0	0	0	0	0	0	0
"LOC283693"	15	8	13	10	15	16	6	4	6	5
"LOC283710"	625	327	215	2	0	0	7	0	1	1
"LOC283731"	16	2	9	11	9	7	0	0	0	0
"LOC283738"	0	0	0	1	2	0	0	0	0	0
"LOC283761"	0	0	2	0	0	0	0	0	0	3
"LOC283788"	0	0	0	0	0	0	0	0	0	0
"LOC283856"	0	0	0	3	7	13	3	0	0	1
"LOC283867"	0	0	0	0	1	2	0	2	0	0
"LOC283875"	1	1	1	21	13	13	12	25	3	44
"LOC283888"	17	16	23	4	3	3	1	3	0	0
"LOC283914"	0	0	0	0	0	0	0	0	0	0
"LOC283922"	189	77	105	266	278	273	110	256	94	391
"LOC284009"	5	4	4	6	19	11	5	5	1	10
"LOC284023"	145	107	133	32	53	44	18	81	202	53
"LOC284080"	2	0	1	1	5	1	0	7	46	1
"LOC284100"	1	0	0	0	1	0	0	0	0	0
"LOC284215"	44	6	32	5	8	4	2	0	0	0
"LOC284233"	9	9	3	1	0	3	0	57	0	69
"LOC284276"	7	472	7	2	3	4	1	11	2	6
"LOC284294"	0	0	0	0	0	0	0	0	0	0
"LOC284344"	0	0	0	0	0	0	0	4	0	0
"LOC284379"	0	1	0	2	1	1	1	4	1	14
"LOC284385"	231	257	119	153	219	186	102	134	280	108
"LOC284395"	0	0	0	0	1	2	0	0	0	0
"LOC284408"	37	12	11	61	69	64	53	122	14	75
"LOC284412"	16	7	7	64	77	55	21	44	18	10
"LOC284440"	62	36	28	38	51	44	25	35	40	38
"LOC284454"	303	225	162	32	27	19	26	346	287	372
"LOC284551"	7	6	12	3	0	0	1	0	0	0
"LOC284576"	2	1	2	1	6	4	1	0	0	2
"LOC284578"	0	0	0	1	7	4	0	1	0	0
"LOC284632"	0	0	0	0	0	0	0	2	0	0
"LOC284648"	46	11	23	6	12	9	6	8	1	0
"LOC284661"	0	0	0	0	0	0	0	0	0	0
"LOC284688"	0	0	0	0	0	0	0	0	0	0
"LOC284749"	608	235	235	5	8	6	2	136	0	110
"LOC284751"	0	0	0	8	15	13	6	51	17	44
"LOC284788"	0	0	0	0	0	0	0	0	0	0
"LOC284798"	0	0	0	0	5	13	1	0	0	0
"LOC284801"	5	8	0	0	2	0	0	1	0	4
"LOC284837"	114	61	52	37	85	70	19	39	150	55
"LOC284865"	1	0	1	1	0	1	0	0	0	0
"LOC284889"	390	128	28	131	210	305	73	248	401	527
"LOC284933"	0	0	0	1	4	2	0	0	0	0
"LOC284950"	1	0	0	0	2	0	0	1	0	1
"LOC284998"	0	0	0	0	1	1	0	0	0	0
"LOC285000"	2	0	1	0	0	0	0	0	0	0
"LOC285033"	14	20	16	10	7	8	5	23	17	22
"LOC285074"	372	196	169	708	707	679	328	424	389	506
"LOC285084"	0	0	0	4	2	3	3	8	1	2
"LOC285103"	0	1	0	25	27	25	9	5	2	13
"LOC285205"	0	0	0	1	0	0	0	14	0	5
"LOC285326"	0	0	0	0	0	0	0	0	0	0
"LOC285359"	67	36	29	25	27	33	30	40	8	32
"LOC285370"	0	1	0	0	1	0	0	0	0	0
"LOC285375"	0	0	0	1	0	2	0	1	0	1
"LOC285401"	0	0	1	475	575	562	297	0	0	0
"LOC285419"	0	0	0	2	3	2	1	3	0	0
"LOC285441"	0	0	0	3	1	1	1	1	0	2
"LOC285456"	0	0	1	0	0	1	0	0	3	0
"LOC285484"	30	1	10	31	24	25	12	1	0	1
"LOC285501"	0	0	0	0	1	0	0	0	0	0
"LOC285540"	15	15	18	5	2	6	1	20	0	8
"LOC285547"	2	0	1	0	2	2	0	0	0	0
"LOC285548"	0	4	0	1	2	2	1	0	1	0
"LOC285577"	0	0	0	0	0	0	0	0	0	0
"LOC285593"	5	2	1	1	4	1	3	20	0	10
"LOC285626"	33	2	20	0	3	2	0	0	2	0
"LOC285627"	2	0	3	0	0	0	0	0	0	0
"LOC285629"	1	0	0	1	0	0	0	0	15	0
"LOC285692"	0	0	0	0	0	0	0	1	0	0
"LOC285696"	3	1	5	33	28	38	12	8	1	21
"LOC285740"	1	7	6	0	0	0	0	3	0	0
"LOC285758"	245	57	180	0	1	0	3	3	1	0
"LOC285768"	0	0	0	0	0	0	0	0	0	0
"LOC285796"	0	0	0	0	0	0	0	24	0	6
"LOC285819"	1	7	8	1	0	0	0	0	0	0
"LOC285847"	6	3	0	5	7	5	10	2	4	1
"LOC285878"	0	0	0	2	1	1	2	0	0	0
"LOC285889"	1	0	0	0	3	2	0	26	0	18
"LOC285954"	1	3	3	0	2	1	0	3	1	2
"LOC285965"	25	16	25	102	96	116	80	5	20	2
"LOC285972"	807	652	496	0	0	0	0	0	0	0
"LOC286002"	0	1	0	0	1	0	0	4	0	0
"LOC286059"	5	2	4	43	32	47	39	2	2	2
"LOC286083"	8	0	2	1	3	3	1	0	0	0
"LOC286094"	0	0	0	0	0	0	0	0	0	0
"LOC286114"	0	0	0	0	0	0	0	0	0	0
"LOC286135"	0	0	0	1	0	0	0	0	0	0
"LOC286177"	0	1	0	0	0	0	0	0	0	0
"LOC286184"	2	0	0	1	0	1	0	0	0	0
"LOC286186"	1	0	0	0	0	0	0	0	1	0
"LOC286189"	0	0	0	45	26	27	28	2	0	0
"LOC286190"	15	8	7	2	3	4	3	9	1	2
"LOC286238"	1	0	0	0	0	0	0	0	0	0
"LOC286359"	0	0	1	0	2	0	0	0	0	0
"LOC286367"	138	78	65	17	19	18	12	71	8	16
"LOC286370"	0	0	0	0	0	0	0	0	0	0
"LOC286437"	58	31	53	26	20	19	32	230	61	102
"LOC286442"	0	0	0	0	0	0	0	0	0	0
"LOC286467"	68	129	59	337	354	398	236	172	0	91
"LOC338579"	0	0	0	0	0	0	0	0	0	0
"LOC338588"	0	0	0	0	0	0	0	0	0	0
"LOC338651"	1	0	1	1	0	1	1	223	0	184
"LOC338739"	29	13	34	12	6	10	6	5	1	7
"LOC338758"	79	38	40	13	15	21	11	258	43	150
"LOC338799"	411	153	140	417	416	396	254	256	49	374
"LOC338817"	35	151	16	8	19	20	10	58	7	34
"LOC338862"	0	0	0	0	0	0	0	0	0	0
"LOC338963"	1	0	1	1	5	0	0	0	1	0
"LOC339166"	0	0	0	3	2	5	1	0	0	0
"LOC339240"	0	1	0	3	3	4	2	0	3	0
"LOC339290"	940	618	371	613	657	612	415	105	569	101
"LOC339298"	0	0	0	0	0	2	0	0	0	0
"LOC339442"	2	1	0	1	6	7	3	2	0	0
"LOC339505"	0	0	0	3	0	1	0	0	1	0
"LOC339524"	5	3	4	37	48	44	23	11	8	0
"LOC339529"	2	0	0	0	0	0	0	0	1	0
"LOC339535"	3	0	0	12	18	27	14	1	80	0
"LOC339568"	0	0	0	0	0	0	0	0	0	0
"LOC339593"	0	0	0	1	0	0	0	0	0	0
"LOC339666"	20	11	10	15	4	12	12	6	4	2
"LOC339685"	0	1	0	0	0	0	0	0	0	0
"LOC339788"	1	2	0	1	0	0	0	0	0	0
"LOC339803"	375	253	193	69	78	92	48	410	695	280
"LOC339807"	18	1	4	0	1	0	0	7	0	2
"LOC339822"	1	0	0	0	0	0	0	0	0	2
"LOC339874"	2	3	2	2	8	5	2	2	0	3
"LOC339894"	42	4	27	0	0	0	1	2	125	0
"LOC339926"	0	0	0	0	0	0	0	0	0	0
"LOC339975"	0	0	0	7	4	4	1	0	1	0
"LOC340017"	0	0	0	0	0	0	0	0	1	0
"LOC340037"	14	8	13	13	13	14	9	18	24	38
"LOC340073"	0	0	0	0	0	0	0	1	0	0
"LOC340074"	0	0	0	0	0	0	0	0	0	0
"LOC340094"	0	6	2	0	0	0	0	0	0	0
"LOC340107"	0	0	0	0	0	0	0	0	0	0
"LOC340113"	0	1	0	0	0	0	0	0	0	0
"LOC340357"	0	0	0	0	0	0	0	0	0	0
"LOC340508"	0	0	0	19	20	14	7	2	0	0
"LOC340515"	2	0	0	1	0	1	1	0	0	0
"LOC340544"	25	26	28	47	51	46	45	75	5	30
"LOC341056"	1	1	0	1	0	0	0	1	1	3
"LOC344595"	17	13	12	85	71	62	64	265	529	208
"LOC344887"	0	4	0	0	0	3	0	1	111	0
"LOC344967"	3	0	2	1	2	3	1	8	8	8
"LOC347411"	0	0	1	0	0	0	0	1	1	0
"LOC348120"	0	0	0	1	0	0	0	0	0	0
"LOC348761"	362	163	206	15	22	14	5	5	0	6
"LOC348840"	0	0	0	1	1	0	0	0	0	3
"LOC349196"	0	0	0	1	2	0	0	0	0	0
"LOC374443"	617	152	474	74	88	55	74	462	68	339
"LOC375190"	142	97	97	5	14	13	10	27	22	13
"LOC375196"	0	0	0	11	25	15	3	0	3	0
"LOC375295"	3	1	3	0	9	3	2	199	123	51
"LOC386597"	2	5	0	61	49	66	34	0	1	2
"LOC386758"	16	13	8	133	167	151	127	1	44	0
"LOC387646"	30	19	12	99	77	80	65	92	3	89
"LOC387647"	301	135	118	0	0	0	0	540	1156	712
"LOC387723"	57	55	25	37	52	41	11	169	19	173
"LOC387895"	0	0	2	0	0	1	0	0	0	0
"LOC388152"	360	91	87	1201	1181	1102	364	1179	388	1549
"LOC388242"	0	0	0	0	0	0	0	0	0	0
"LOC388276"	0	0	0	0	0	0	0	0	0	0
"LOC388387"	0	1	0	1	0	0	0	0	0	0
"LOC388499"	8	1	0	3	6	8	18	12	15	23
"LOC388553"	2	0	2	0	1	1	2	1	0	1
"LOC388588"	9	4	1	21	57	38	5	35	18	79
"LOC388630"	0	0	0	263	332	373	134	9	125	14
"LOC388692"	362	246	194	307	414	385	173	1141	372	1119
"LOC388789"	1440	769	639	636	1118	888	584	1984	1495	1970
"LOC388796"	1171	591	250	663	693	682	379	545	591	841
"LOC388849"	0	1	0	0	1	2	1	2	7	3
"LOC388906"	16	4	9	10	11	13	7	16	56	27
"LOC388942"	0	0	0	0	0	0	0	0	0	0
"LOC388946"	0	0	0	0	0	0	0	0	0	0
"LOC388948"	2	2	2	1	0	0	2	2	0	0
"LOC389023"	0	0	0	31	56	52	32	0	0	0
"LOC389033"	0	0	0	5	5	6	1	3	1	4
"LOC389043"	0	0	0	2	0	2	0	0	0	1
"LOC389247"	5	2	4	7	9	6	3	2	4	3
"LOC389332"	1	1	0	3	3	1	0	75	1	84
"LOC389458"	0	0	0	0	0	0	0	0	0	0
"LOC389493"	0	0	0	0	0	0	0	0	0	0
"LOC389634"	4	2	0	31	51	42	5	14	1	4
"LOC389641"	18	67	15	112	130	97	57	218	230	176
"LOC389676"	0	0	0	0	0	0	0	0	0	0
"LOC389705"	1	0	0	3	6	3	3	0	0	0
"LOC389765"	50	39	42	49	38	43	28	90	5	51
"LOC389791"	37	6	12	23	14	28	10	38	12	37
"LOC389831"	0	0	0	0	0	0	0	0	0	0
"LOC389834"	0	0	0	0	0	0	0	0	0	0
"LOC389906"	894	444	314	630	663	615	365	721	688	603
"LOC390705"	0	0	0	0	0	0	0	0	0	0
"LOC390858"	0	0	0	0	1	0	0	0	0	0
"LOC390940"	10	70	7	124	196	163	94	24	63	30
"LOC391322"	35	22	12	28	36	41	17	19	11	17
"LOC392196"	6	5	4	3	3	1	0	1	0	2
"LOC392232"	0	0	0	1	1	1	0	1	0	0
"LOC392364"	0	0	0	0	0	0	0	2	0	0
"LOC399708"	0	0	0	0	0	0	0	0	0	0
"LOC399715"	27	43	16	12	25	15	9	26	2	9
"LOC399744"	448	115	133	414	427	520	143	337	152	571
"LOC399753"	9	1	3	29	50	46	20	11	11	6
"LOC399815"	115	57	71	7	7	7	3	97	71	73
"LOC399939"	0	0	0	0	0	0	0	0	0	0
"LOC399940"	0	0	0	0	0	0	0	0	0	0
"LOC400027"	832	394	269	315	269	281	226	1318	178	602
"LOC400043"	6	5	2	1	4	3	1	4	493	6
"LOC400084"	0	0	0	6	4	5	3	0	0	0
"LOC400236"	71	23	48	33	55	39	17	49	32	75
"LOC400238"	0	0	0	0	0	0	0	0	0	3
"LOC400456"	0	1	0	0	0	0	0	0	0	0
"LOC400548"	1	0	0	2	6	13	5	1	0	3
"LOC400550"	1	0	4	0	0	0	0	0	0	0
"LOC400604"	77	44	27	52	57	64	42	144	20	99
"LOC400620"	0	0	0	0	0	0	0	1	0	0
"LOC400643"	0	0	0	1	3	3	1	2	0	0
"LOC400654"	0	0	0	0	0	0	0	0	0	0
"LOC400655"	0	2	0	1	0	0	0	0	0	0
"LOC400657"	207	214	157	244	242	241	174	233	297	161
"LOC400680"	0	1	1	389	293	404	274	1	0	9
"LOC400685"	0	0	0	44	31	45	28	24	9	36
"LOC400752"	27	20	13	20	35	33	9	53	8	85
"LOC400794"	0	0	0	0	0	0	0	0	0	0
"LOC400891"	0	0	0	1	1	1	1	2	0	1
"LOC400927"	73	25	10	113	117	113	69	13	24	8
"LOC400940"	0	1	0	8	7	6	7	0	0	0
"LOC400950"	61	107	36	9	7	7	3	0	0	0
"LOC400958"	367	272	302	2	2	2	0	1	0	0
"LOC401010"	6	1	1	3	10	13	0	220	11	302
"LOC401022"	3	0	0	3	0	1	1	132	1	59
"LOC401052"	83	31	39	69	131	127	136	220	41	234
"LOC401074"	7	1	2	67	50	40	32	102	10	60
"LOC401093"	75	35	50	9	7	8	1	111	49	66
"LOC401109"	6	1	4	0	1	0	0	158	20	123
"LOC401127"	9	5	1	2	2	1	1	6	8	6
"LOC401134"	0	0	0	0	0	0	0	0	0	0
"LOC401164"	0	0	0	13	16	21	17	0	3	0
"LOC401177"	0	0	0	0	0	0	0	0	0	0
"LOC401233"	214	99	210	275	217	234	164	262	543	308
"LOC401242"	0	1	0	0	1	0	0	2	0	1
"LOC401320"	802	296	454	96	90	104	69	91	40	75
"LOC401321"	1	90	2	163	178	186	107	537	197	268
"LOC401324"	0	0	0	0	0	0	0	0	0	0
"LOC401397"	1157	998	1056	515	454	493	486	585	1825	219
"LOC401431"	33	8	17	58	77	59	29	73	8	118
"LOC401463"	19	24	11	1	0	0	0	0	0	0
"LOC401588"	154	96	66	151	132	133	121	153	72	123
"LOC401980"	17	1	0	4	7	9	3	15	3	17
"LOC402160"	1	0	1	1	1	5	1	10	0	9
"LOC402779"	0	0	0	0	0	0	0	0	0	0
"LOC404266"	1	0	0	1	0	0	2	4	0	0
